Timestamp,Hour,Temp,Conditions,Weather Sentiment
20170108,7:51 AM,17.1,Mostly Cloudy,negative
20170108,8:51 AM,17.1,Clear,positive
20170108,9:51 AM,18,Clear,positive
20170108,10:51 AM,19,Partly Cloudy,neutral
20170108,11:51 AM,19.9,Overcast,negative
20170108,12:51 PM,21.9,Overcast,negative
20170108,1:51 PM,23,Mostly Cloudy,negative
20170108,2:51 PM,24.1,Mostly Cloudy,negative
20170108,3:51 PM,24.1,Overcast,negative
20170108,4:51 PM,23,Mostly Cloudy,negative
20170108,5:51 PM,21.9,Clear,positive
20170108,6:51 PM,21.9,Clear,positive
20170108,7:51 PM,21,Clear,positive
20170108,8:51 PM,19.9,Clear,positive
20170108,9:51 PM,19,Clear,positive
20170108,10:51 PM,19,Clear,positive
20170108,11:51 PM,18,Clear,positive
20170109,12:51 AM,17.1,Clear,positive
20170109,1:51 AM,16,Clear,positive
20170109,2:51 AM,16,Clear,positive
20170109,3:51 AM,15.1,Clear,positive
20170109,4:51 AM,15.1,Clear,positive
20170109,5:51 AM,15.1,Clear,positive
20170109,6:51 AM,15.1,Clear,positive
20170109,7:51 AM,15.1,Clear,positive
20170109,8:51 AM,16,Clear,positive
20170109,9:51 AM,17.1,Clear,positive
20170109,10:51 AM,19,Clear,positive
20170109,11:51 AM,19.9,Partly Cloudy,neutral
20170109,12:51 PM,19.9,Scattered Clouds,neutral
20170109,1:51 PM,21,Overcast,negative
20170109,2:51 PM,21.9,Overcast,negative
20170109,3:51 PM,23,Scattered Clouds,neutral
20170109,4:51 PM,21.9,Scattered Clouds,neutral
20170109,5:51 PM,21.9,Partly Cloudy,neutral
20170109,6:51 PM,23,Clear,positive
20170109,7:51 PM,23,Clear,positive
20170109,8:51 PM,23,Scattered Clouds,neutral
20170109,9:51 PM,21.9,Clear,positive
20170109,10:51 PM,21,Clear,positive
20170109,11:51 PM,21.9,Clear,positive
20170110,12:51 AM,21.9,Clear,positive
20170110,1:51 AM,21.9,Clear,positive
20170110,2:51 AM,21.9,Clear,positive
20170110,3:51 AM,21.9,Clear,positive
20170110,4:51 AM,23,Clear,positive
20170110,5:51 AM,23,Clear,positive
20170110,6:51 AM,24.1,Clear,positive
20170110,7:51 AM,25,Clear,positive
20170110,8:51 AM,27,Clear,positive
20170110,9:51 AM,28.9,Clear,positive
20170110,10:51 AM,30.9,Clear,positive
20170110,11:51 AM,33.1,Clear,positive
20170110,12:51 PM,34,Scattered Clouds,neutral
20170110,1:51 PM,34,Overcast,negative
20170110,2:51 PM,35.1,Overcast,negative
20170110,3:51 PM,36,Overcast,negative
20170110,4:51 PM,37,Overcast,negative
20170110,5:51 PM,37,Overcast,negative
20170110,6:51 PM,37.9,Overcast,negative
20170110,7:51 PM,39.9,Overcast,negative
20170110,8:51 PM,41,Overcast,negative
20170110,9:51 PM,44.1,Overcast,negative
20170110,10:51 PM,44.1,Overcast,negative
20170110,11:01 PM,44.1,Overcast,negative
20170110,11:51 PM,45,Overcast,negative
20170111,12:51 AM,45,Overcast,negative
20170111,1:46 AM,42.8,Rain,negative
20170111,1:51 AM,43,Rain,negative
20170111,2:00 AM,42.1,Rain,negative
20170111,2:07 AM,43,Rain,negative
